client_id,credit_score,income,debt,overdue
C001,773,38664.06,23986.49,1
C002,452,98144.12,11221.71,1
C003,442,114583.26,47848.60,1
C004,771,80277.71,12225.45,1
C005,673,27952.62,21448.32,1
C006,464,34673.37,46913.44,1
C007,556,107187.06,22814.22,0
C008,378,41677.78,38520.01,0
C009,805,74541.42,31396.41,0
C010,362,111666.19,32687.03,0
C011,779,100943.89,15816.90,0
C012,818,79393.71,17605.61,0
C013,553,22823.15,31692.15,1
C014,592,40088.63,42027.65,0
C015,675,28018.19,36687.08,1
C016,575,73752.48,4257.71,0
C017,633,106821.42,34391.57,0
C018,680,88397.02,35075.51,1
C019,589,27950.67,3053.28,1
C020,492,110758.16,35806.50,1
C021,544,64825.95,36847.99,1
C022,485,85787.94,9658.13,0
C023,356,67129.48,24144.66,0
C024,329,28347.62,27761.55,1
C025,310,41205.12,5682.26,0
C026,392,112955.47,3903.49,0
C027,457,36002.43,37165.66,0
C028,683,75156.15,44086.71,1
C029,412,100523.90,21740.19,1
C030,797,118807.91,17457.66,1
C031,706,65085.48,4518.41,1
C032,603,36602.00,28482.70,1
C033,572,45655.01,5881.46,1
C034,358,73409.47,41440.51,1
C035,745,77915.89,29094.68,0
C036,476,114008.49,14646.28,0
C037,835,23468.29,14358.47,0
C038,793,81473.48,19551.21,0
C039,330,78928.12,42806.13,0
C040,633,40124.82,49289.58,1
C041,373,93635.96,23244.39,0
C042,427,28866.38,30255.26,0
C043,692,59166.99,4191.27,1
C044,765,23307.99,26476.90,0
C045,316,56318.70,31119.29,0
C046,409,71917.44,8782.04,1
C047,557,66022.25,29359.94,0
C048,839,46371.11,6347.79,0
C049,444,60336.07,49573.27,1
C050,453,38659.79,14770.26,0
C051,387,33957.13,15536.15,1
C052,604,86855.53,29644.66,1
C053,521,42485.57,44487.32,1
C054,742,51433.03,33250.20,1
C055,707,115228.89,13645.86,0
C056,722,33687.27,21347.71,1
C057,482,99524.73,44700.78,1
C058,585,23081.40,46764.41,0
C059,454,25482.72,27469.98,0
C060,399,78250.91,13616.38,1
C061,421,61495.50,42872.93,1
C062,759,37880.88,48988.67,1
C063,718,55957.20,35409.87,0
C064,803,54378.24,39015.88,0
C065,308,115097.73,19579.60,1
C066,407,43375.74,44662.48,1
C067,557,23738.49,43541.58,1
C068,794,108222.51,35324.42,1
C069,561,38098.11,49556.34,0
C070,652,85244.27,48164.04,1
C071,591,91966.81,11802.48,0
C072,718,92726.58,30972.66,0
C073,319,86736.77,8373.01,1
C074,419,77337.79,39506.18,0
C075,463,65980.06,18399.96,1
C076,750,32834.06,4697.80,1
C077,432,99629.39,24330.32,1
C078,361,36337.45,24330.26,0
C079,802,114051.13,2800.74,0
C080,806,87758.94,38904.45,1
C081,453,61016.17,25058.83,1
C082,645,105058.24,3264.98,1
C083,354,92663.86,18649.96,0
C084,368,51865.06,28023.34,1
C085,406,114435.19,6688.07,1
C086,440,36541.88,30126.98,0
C087,713,55097.41,36147.14,0
C088,680,76855.82,44369.77,1
C089,493,60838.89,21387.77,0
C090,487,57384.99,32014.12,0
C091,644,68774.08,920.27,1
C092,502,52242.87,38128.10,1
C093,483,34300.49,38594.56,0
C094,808,96685.21,24957.98,1
C095,389,97370.73,26599.97,0
C096,563,118750.75,9368.83,1
C097,841,31475.46,34600.23,0
C098,484,79127.93,27152.96,0
C099,322,111144.61,28301.65,1
C100,564,74792.82,4624.80,0
