id,age,income,debt,credit_score,delinquent
1,26,43635.42,16883.37,486,0
2,55,41739.98,12367.81,555,0
3,55,38762.07,3023.61,516,0
4,55,26264.96,12144.20,806,0
5,42,48805.07,10965.92,590,1
6,34,31660.39,14045.31,585,0
7,41,49066.50,17281.98,772,0
8,19,42993.46,18145.69,608,0
9,51,51887.87,23285.04,811,0
10,40,42326.39,9323.70,516,0
11,54,43238.74,13428.55,786,0
12,53,51326.21,8032.99,610,0
13,21,20000.00,18000.00,669,0
14,33,45050.13,18014.50,810,0
15,31,51146.28,31567.70,680,1
16,28,26465.09,23818.58,560,0
17,48,36419.86,6457.50,740,0
18,26,23062.35,6238.46,599,0
19,23,45375.04,11266.58,675,0
20,35,51437.52,2916.50,590,0
21,44,40533.09,17018.71,568,0
22,45,32965.35,16134.15,650,0
23,43,39238.02,23181.93,619,0
24,25,31404.60,14428.65,551,0
25,36,38521.16,15118.93,624,0
26,30,20000.00,18000.00,765,0
27,45,45397.84,17753.24,439,1
28,41,51917.33,12301.87,733,0
29,55,20000.00,9345.34,628,0
30,38,42866.66,21675.70,649,0
31,40,51633.03,18539.89,683,0
32,23,51723.58,13582.68,745,0
33,50,20097.95,14176.84,693,1
34,24,33822.85,13965.71,729,0
35,48,38779.98,19215.56,630,0
36,54,37994.24,7480.29,632,0
37,44,20800.07,15384.83,714,0
38,45,53949.46,23238.27,659,0
39,49,46548.36,11159.66,648,0
40,49,31254.71,8435.32,594,0
41,35,31727.47,13057.20,776,0
42,56,42625.08,22306.59,622,0
43,26,36719.75,9645.77,655,0
44,22,30202.88,14830.50,695,0
45,37,38394.86,22419.97,802,0
46,33,25710.17,12627.32,701,0
47,41,34525.85,17412.24,666,0
48,39,46053.00,15806.20,751,0
49,36,25649.91,0.00,502,0
50,47,46236.25,12708.69,712,0
51,32,20015.82,8736.87,648,0
52,31,47175.55,9477.85,600,0
53,47,37778.25,23201.46,589,1
54,23,38450.32,11752.75,728,0
55,56,44718.86,11365.54,551,1
56,29,47403.67,26493.36,734,1
57,50,30370.19,20899.07,534,0
58,19,45352.01,3652.91,603,1
59,20,63850.94,8385.55,643,0
60,43,40400.51,12508.67,667,0
61,34,38757.78,9119.65,660,0
62,59,37998.87,11619.09,574,0
63,32,40421.37,22736.42,716,0
64,48,57793.94,12847.12,713,0
65,48,37607.28,16961.39,603,1
66,27,41665.53,3055.45,578,0
67,27,42400.72,18417.26,640,0
68,44,43236.31,15475.23,667,0
69,26,55049.05,14736.96,850,0
70,30,46399.99,11316.01,737,0
71,37,42044.01,16593.39,541,0
72,33,35421.93,20898.86,550,0
73,33,51839.36,10640.02,442,0
74,56,37640.59,2219.13,850,0
75,41,35980.06,7762.71,658,0
76,42,23969.20,0.00,682,0
77,40,35005.66,23849.71,782,1
78,23,41620.59,12529.70,620,0
79,42,58953.30,5713.37,707,0
80,44,63384.89,17570.10,792,0
81,50,37722.16,8295.86,592,0
82,50,57926.90,17079.57,604,0
83,48,41200.16,16411.01,634,0
84,57,62540.03,16365.66,612,0
85,25,40255.62,4019.12,697,0
86,18,22695.05,8756.11,687,0
87,56,35704.34,11130.69,750,1
88,21,38721.28,30522.84,633,0
89,58,41683.65,17554.67,591,1
90,52,43899.58,12759.94,761,0
91,45,39109.14,13807.77,638,0
92,53,47674.58,9223.14,677,0
93,49,49137.66,22081.14,674,0
94,41,66292.55,13609.74,559,0
95,46,27725.57,19912.79,721,0
96,41,27277.71,20936.46,695,0
97,21,38980.93,4907.37,538,0
98,38,36411.92,6759.80,427,1
99,26,31016.08,18674.70,739,1
100,21,37161.65,13498.53,675,0
101,38,42735.71,20948.14,624,0
102,42,32084.21,12564.74,666,0
103,57,43762.97,12332.45,631,0
104,53,49253.81,10570.03,679,0
105,39,42803.69,11790.50,571,0
106,41,44043.12,12870.80,599,0
107,58,48736.88,11356.21,731,1
108,54,31560.96,18861.21,712,1
109,47,28748.35,9825.31,605,0
110,47,40713.60,15551.30,643,0
111,40,43198.88,22836.90,634,0
112,48,41162.51,26217.19,635,1
113,18,26867.74,6204.79,588,0
114,55,54670.85,18660.00,639,0
115,25,27663.31,16028.46,623,0
116,59,34399.37,7972.14,417,0
117,18,48307.71,7653.63,681,0
118,55,22982.15,13481.52,611,0
119,33,21410.21,19269.19,795,0
120,18,39921.17,3988.97,681,0
121,56,45685.92,11917.25,754,0
122,56,60354.34,12496.75,729,0
123,34,42625.16,31533.57,714,1
124,23,43526.04,12586.89,688,0
